Labels,Rainfall,Soil_Moisture,Evapo_Transpiration,Discharge
18-May-18,1.79,42.57845675,2.099802875,157.667
19-May-18,1.26,42.38363786,3.3717647,63.262
21-May-18,2.06,41.77966527,3.226564133,72.991
22-May-18,1.26,42.6865529,2.336499079,78.442
23-May-18,2.89,42.69386225,3.996089904,74.079
24-May-18,3.73,42.83139936,2.9351209,153.099
25-May-18,4.97,42.4422312,3.73343573,147.94
26-May-18,4.39,40.47119675,3.134878124,64.231
28-May-18,2.85,36.40845127,2.985267221,150.8
29-May-18,2.63,34.65416583,2.812297636,433.688
31-May-18,1.9,31.92026491,2.300495381,347.186
01-Jun-18,3.4,30.57122595,2.695119866,356.923
02-Jun-18,5.38,29.70142017,2.3981167,255.151
04-Jun-18,3.14,31.68976667,2.433519916,148.358
05-Jun-18,3.22,33.04210263,2.497762638,156.192
06-Jun-18,3.93,35.62693798,3.399512897,218.502
07-Jun-18,6.98,36.95260046,3.674080842,247.424
08-Jun-18,8.57,37.74865322,1.986139439,342.908
09-Jun-18,8.01,36.49441291,2.203923718,655.099
11-Jun-18,8.2,38.65558963,2.797003819,1209.465
12-Jun-18,8.91,39.22743698,3.084970302,1526.089
13-Jun-18,8.13,38.23715046,1.327074021,1335.242
14-Jun-18,8.29,36.67448051,2.585133075,1082.445
16-Jun-18,3.87,34.76632523,1.08104359,389.508
18-Jun-18,2.91,42.58181861,1.187585008,316.98
19-Jun-18,3.47,40.85559135,2.461973588,312.266
20-Jun-18,3.78,41.62251582,2.11580164,373.383
21-Jun-18,4.69,42.87360882,3.075076611,505.801
22-Jun-18,7.31,42.81249293,3.552228936,497.468
23-Jun-18,6.48,41.03990498,2.745554683,433.456
25-Jun-18,9.25,42.7584581,2.400820424,315.32
26-Jun-18,12.77,43.02423047,1.867965819,392.445
27-Jun-18,13.24,42.31147263,1.607965703,340.447
28-Jun-18,17.23,40.42121702,2.644464938,435.779
29-Jun-18,11.94,38.62186659,2.484316444,373.505
30-Jun-18,7.71,36.74125775,2.786489795,386.001
02-Jul-18,11.29,39.07646727,1.284477393,376.875
03-Jul-18,11.73,37.13366622,2.918955157,434.127
04-Jul-18,11.36,35.25989394,3.067367594,301.734
05-Jul-18,9.34,33.58895141,2.979940827,262.605
06-Jul-18,9.07,40.83493861,0.836353163,250.344
07-Jul-18,12.82,42.09442535,3.738891322,222.5
09-Jul-18,12.63,39.01158226,2.654263226,635.904
10-Jul-18,14.08,37.07939907,2.939838549,877.179
11-Jul-18,14.52,35.31056176,2.963274641,1517.811
12-Jul-18,17.33,33.74196239,2.833344876,1128.315
13-Jul-18,15.68,32.34402058,2.655836602,1085.605
14-Jul-18,14.44,30.9876029,2.882809729,1157.075
16-Jul-18,19.41,28.73957496,2.565785097,2907.978
17-Jul-18,17.65,28.06922328,2.256605289,1797.959
18-Jul-18,8.81,27.26802961,2.489622578,1916.824
19-Jul-18,10.77,26.47779094,2.619617366,1263.169
20-Jul-18,13.35,25.76520331,2.806005333,1399.671
21-Jul-18,18.69,25.09396695,2.823124633,955.65
23-Jul-18,12.61,23.95360553,2.505384334,672.096
24-Jul-18,9.34,23.48186824,2.12831386,1384.933
25-Jul-18,9.5,23.03601819,2.143162121,2410.477
26-Jul-18,12.31,25.99880777,1.82686264,1429.411
27-Jul-18,7.83,26.24953184,2.716789206,950.905
28-Jul-18,6.45,25.75446514,1.252891493,705.744
30-Jul-18,10.2,26.48289693,0.762019215,827.317
31-Jul-18,9.5,26.42436523,1.121488534,860.868
01-Aug-18,7.82,25.8189325,1.342557072,705.436
02-Aug-18,9.32,25.33474563,1.196731094,577.445
03-Aug-18,5.8,24.69622415,2.705292975,468.652
04-Aug-18,5.22,24.12283393,2.569724558,415.179
06-Aug-18,7.94,23.04533295,2.924423441,329.006
07-Aug-18,10.25,22.57348553,2.78406198,340.04
08-Aug-18,14.45,22.10625543,3.040437118,800.654
09-Aug-18,7.85,21.66968827,2.940375192,4620.676
10-Aug-18,5.18,21.49120649,0.688585091,3309.942
11-Aug-18,8.65,21.09091457,2.892167899,3039.985
13-Aug-18,15.07,20.34577605,3.022959335,2520.788
14-Aug-18,10.74,20.00132213,2.917254447,2279.095
15-Aug-18,10.69,19.68659836,2.714558197,6166.426
23-Aug-18,8.26,17.54929037,2.633199796,924.282
28-Aug-18,8.5,16.54682842,2.528745034,649.185
